fold,thr,acc,precision,recall,f1,f1_macro
1,0.4883845,0.5,0.46153846153846156,0.75,0.5714285714285714,0.4857142857142857
2,0.5022351,0.3333333333333333,0.625,0.35714285714285715,0.45454545454545453,0.2987012987012987
3,0.6404291,0.6666666666666666,0.5833333333333334,0.875,0.7,0.6625
4,0.4463742,0.6111111111111112,0.8,0.6153846153846154,0.6956521739130435,0.5785953177257526
5,0.5407134,0.3333333333333333,0.375,0.3,0.3333333333333333,0.3333333333333333
6,0.46435857,0.6666666666666666,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5846153846153846
