fold,thr,acc,precision,recall,f1
1,0.46,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.3333333333333333
2,0.45,0.3333333333333333,0.0,0.0,0.0
3,0.45,0.3888888888888889,0.5,0.09090909090909091,0.15384615384615385
4,0.45,0.3888888888888889,0.6,0.25,0.35294117647058826
5,0.49,0.3888888888888889,1.0,0.08333333333333333,0.15384615384615385
6,0.45,0.4444444444444444,0.0,0.0,0.0
