fold,mode,acc,precision,recall,f1,thr,w_cnn,w_trf,w_inc
1,stack_lr,0.4444444444444444,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5700000000000001,,,
2,weighted,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4,0.2,0.5,0.3
3,weighted,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,0.4,0.2,0.5,0.3
4,stack_lr,0.5555555555555556,0.625,0.8333333333333334,0.7142857142857143,0.56,,,
5,stack_lr,0.5,0.6153846153846154,0.6666666666666666,0.64,0.5800000000000001,,,
6,stack_lr,0.4444444444444444,0.5,0.6,0.5454545454545454,0.55,,,
