delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38239,0.14263,8.67297,12.70364,0.0,0.009690000000000032,-0.2542,0.12688
0.0,0.0,0.0,0.045069999999999055,0.0,0.0,0.0,-0.12688
0.007859999999999978,0.006479999999999986,0.0,-0.018129999999999313,0.0,0.02359,0.019430000000000003,0.0
0.0,0.0,0.0,0.0,0.01953,0.0,0.0,0.0
0.0050200000000000244,0.03245000000000001,-1.8575900000000019,-0.09356999999999971,0.006840000000000002,0.004349999999999965,0.11688000000000001,0.0
-0.0015999999999999903,-0.005700000000000011,-0.05286999999999864,-0.6900900000000014,0.006829999999999999,-0.02305999999999997,-0.12587,0.0
0.0010199999999999654,-0.0025199999999999945,-0.040459999999999496,0.6054999999999993,0.005859999999999997,0.012519999999999976,0.00763999999999998,0.0
0.0006400000000000294,-0.0022199999999999998,0.4837299999999978,-0.0658399999999979,0.006840000000000006,-0.0006099999999999994,-0.0028900000000000037,0.0
-0.0013900000000000023,-0.002679999999999988,-0.022520000000000095,-0.48748000000000147,0.006829999999999996,-0.015019999999999978,-0.008169999999999983,0.0
-0.0013299999999999979,-0.001710000000000017,-0.0017199999999988336,0.41441000000000017,0.006839999999999999,-0.0021300000000000208,0.0034099999999999964,0.0
-0.0010800000000000254,-0.0014099999999999946,-0.03509999999999991,-0.0452300000000001,0.006839999999999999,-0.00023999999999996247,-0.00040000000000001146,0.0
-0.00047999999999998044,-0.0008499999999999897,0.011649999999999494,0.15897999999999968,0.006830000000000003,0.004479999999999984,0.0033200000000000174,0.0
0.00034000000000000696,9.999999999998899e-05,-0.11979999999999791,-0.014910000000000423,0.006839999999999999,0.008850000000000025,0.009660000000000002,0.0
0.00045000000000000595,0.0007600000000000107,0.10343999999999909,0.21196000000000126,0.006830000000000003,0.0021199999999999553,0.008789999999999992,0.0
0.0012899999999999578,-0.0002999999999999947,-0.1408200000000015,-0.19679999999999964,0.006839999999999999,0.012670000000000015,-0.013259999999999994,0.0
-0.0007699999999999929,-0.0007400000000000184,0.28319000000000116,-0.050789999999999225,0.006839999999999999,-0.02842,-0.0072500000000000064,0.0
-0.0007300000000000084,-0.0008299999999999974,0.6255200000000016,0.06024000000000029,0.005860000000000004,-0.0006999999999999784,-0.0029599999999999904,0.0
