fold,mode,thr,acc,precision,recall,f1
1,calibrated_thropt,0.4,0.5,0.5,1.0,0.6666666666666666
2,calibrated_thropt,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
3,calibrated_thropt,0.4,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724
4,calibrated_thropt,0.61,0.6666666666666666,0.6666666666666666,1.0,0.8
5,calibrated_thropt,0.61,0.6111111111111112,0.6666666666666666,0.8333333333333334,0.7407407407407407
6,calibrated_thropt,0.4,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
