fold,mode,acc,precision,recall,f1,bal_acc,thr,w_cnn,w_trf,w_inc
1,stack_lr,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,0.6111111111111112,0.63,,,
2,stack_lr,0.6111111111111112,0.8571428571428571,0.5,0.631578947368421,0.6666666666666667,0.5900000000000001,,,
3,stack_lr,0.6666666666666666,0.6470588235294118,1.0,0.7857142857142857,0.5714285714285714,0.64,,,
4,stack_lr,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.63,,,
5,stack_lr,0.6111111111111112,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.5,0.52,,,
6,stack_lr,0.4444444444444444,0.5,0.8,0.6153846153846154,0.4,0.5432098765432098,,,
