fold,thr_file,hybrid_mode,param1,param2,acc_val_baseline,acc_val_hybrid,acc,precision,recall,f1
1,0.45,fraction,0.45,0.15,0.5277777777777778,0.5277777777777778,0.4444444444444444,0.46153846153846156,0.6666666666666666,0.5454545454545454
2,0.45,fraction,0.45,0.15,0.6388888888888888,0.6388888888888888,0.6666666666666666,0.6875,0.9166666666666666,0.7857142857142857
3,0.46,fraction,0.45,0.15,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724
4,0.45,fraction,0.45,0.15,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.6666666666666666,1.0,0.8
5,0.45,fraction,0.45,0.15,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.7692307692307693,0.8333333333333334,0.8
6,0.45,fraction,0.45,0.15,0.6111111111111112,0.6111111111111112,0.4444444444444444,0.5,0.8,0.6153846153846154
