fold,acc,balanced_acc,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_c0,recall_c0,f1_c0,precision_c1,recall_c1,f1_c1
1,0.2916666666666667,0.4375,0.0,0.0,0.0,0.15217391304347827,0.4375,0.22580645161290322,0.30434782608695654,0.875,0.45161290322580644,0.0,0.0,0.0
2,0.47619047619047616,0.3928571428571429,0.6,0.6428571428571429,0.6206896551724138,0.3833333333333333,0.3928571428571429,0.38726790450928383,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.6,0.6428571428571429,0.6206896551724138
3,0.47619047619047616,0.5,0.0,0.0,0.0,0.23809523809523808,0.5,0.3225806451612903,0.47619047619047616,1.0,0.6451612903225806,0.0,0.0,0.0
4,0.5714285714285714,0.5545454545454546,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.6111111111111112,0.5545454545454546,0.49867374005305043,0.6666666666666666,0.2,0.3076923076923077,0.5555555555555556,0.9090909090909091,0.6896551724137931
5,0.3333333333333333,0.5,0.0,0.0,0.0,0.16666666666666666,0.5,0.25,0.3333333333333333,1.0,0.5,0.0,0.0,0.0
