FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.37029,0.04673,17.958,18.50515,0.01978,0.37059,0.03637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.04625,17.94597,18.67309,0.01978,0.36821,0.04027,0.0,-0.00029,-0.00048,-0.01203,0.16794,0.00684,-0.00238,0.0039,0.0
0.36992,0.04576,17.48102,18.5101,0.01978,0.37025,0.0323,0.0,-8e-05,-0.00049,-0.46495,-0.16299,0.00708,0.00204,-0.00797,0.0
0.36983,0.04521,17.52362,18.57212,0.02002,0.36997,0.02966,0.0,-9e-05,-0.00055,0.0426,0.06202,0.0061,-0.00028,-0.00264,0.0
0.36983,0.045,17.9446,18.83336,0.02686,0.36754,0.04041,0.0,0.0,-0.00021,0.42098,0.26124,0.00684,-0.00243,0.01075,0.0
0.36987,0.045,17.76188,18.70138,0.03418,0.37463,0.04859,0.0,4e-05,0.0,-0.18272,-0.13198,0.00732,0.00709,0.00818,0.0
0.36992,0.04507,17.74938,18.46352,0.04004,0.37491,0.05382,0.0,5e-05,7e-05,-0.0125,-0.23786,0.00586,0.00028,0.00523,0.0
0.37003,0.04507,17.60599,18.45068,0.04688,0.36177,0.0643,0.0,0.00011,0.0,-0.14339,-0.01284,0.00684,-0.01314,0.01048,0.0
0.37017,0.04464,17.91842,18.61175,0.05322,0.3816,0.04921,0.0,0.00014,-0.00043,0.31243,0.16107,0.00634,0.01983,-0.01509,0.0
0.37042,0.04399,17.83797,18.58298,0.05957,0.3816,0.04655,0.0,0.00025,-0.00065,-0.08045,-0.02877,0.00635,0.0,-0.00266,0.0
0.37074,0.04335,17.54985,18.50515,0.06665,0.38303,0.03565,0.0,0.00032,-0.00064,-0.28812,-0.07783,0.00708,0.00143,-0.0109,0.0
0.37074,0.04285,17.67852,18.29242,0.07373,0.36753,0.03468,0.0,0.0,-0.0005,0.12867,-0.21273,0.00708,-0.0155,-0.00097,0.0
0.37072,0.04239,17.64137,18.61141,0.08106,0.36724,0.03202,0.0,-2e-05,-0.00046,-0.03715,0.31899,0.00733,-0.00029,-0.00266,0.0
0.37072,0.04239,17.58042,18.25067,0.08692,0.36983,0.04429,0.0,0.0,0.0,-0.06095,-0.36074,0.00586,0.00259,0.01227,0.0
0.37073,0.04244,17.38958,18.26969,0.094,0.37301,0.04202,0.0,1e-05,5e-05,-0.19084,0.01902,0.00708,0.00318,-0.00227,0.0
0.37077,0.04269,17.58499,18.23627,0.10083,0.37331,0.04728,0.0,4e-05,0.00025,0.19541,-0.03342,0.00683,0.0003,0.00526,0.0
