FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.3867,0.0262,30.84001,30.0012,0.17236,0.41043,0.03593,0.0,0.0008,0.00026,-1.7365,0.01418,0.00659,0.02759,0.01302,0.0
0.38758,0.02695,30.9185,30.53097,0.18066,0.41141,0.04721,0.0,0.00088,0.00075,0.07849,0.52977,0.0083,0.00098,0.01128,0.0
0.39133,0.03296,29.9059,30.12628,0.18799,0.49625,0.20117,0.0,0.00375,0.00601,-1.0126,-0.40469,0.00733,0.0765018,0.1092052,0.0
0.39617,0.04031,29.54099,28.72443,0.19263,0.5366,0.25356,0.0,0.00484,0.00735,-0.36491,-1.40185,0.00464,0.04035,0.05239,0.0
0.438466,0.10881333,29.44067,29.21372,0.19263,0.5368,0.25936,0.0,0.042296,0.0572936,-0.10032,0.48929,0.0,0.0002,0.0058,0.0
0.480762,0.17731667,29.6854,28.68427,0.19263,0.58532,0.32242,0.0,0.042296,0.0572936,0.24473,-0.52945,0.0,0.04852,0.06306,0.0
0.523058,0.24582,29.8643,27.39455,0.19263,0.61202,0.33665,0.0,0.042296,0.0572936,0.1789,-1.28972,0.0,0.0267,0.01423,0.0
0.565354,0.28281,30.84787,28.29059,0.19263,0.61313,0.32173,0.0,0.042296,0.03699,0.98357,0.89604,0.0,0.00111,-0.01492,0.0
0.60765,0.3198,30.86926,27.97359,0.19263,0.61182,0.31266,0.0,0.042296,0.03699,0.02139,-0.317,0.0,-0.00131,-0.00907,0.0
0.61084,0.32154,30.29524,27.9757,0.19263,0.61722,0.32755,0.0,0.00319,0.00174,-0.57402,0.00211,0.0,0.0054,0.01489,0.0
0.61256,0.32238,30.4909,28.78501,0.01929,0.61772,0.31903,0.0,0.00172,0.00084,0.19566,0.80931,-0.17408,0.0005,-0.00852,0.0
0.61266,0.32312,31.04739,28.87212,0.02539,0.61306,0.32945,0.0,1e-04,0.00074,0.55649,0.08711,0.00684,-0.00466,0.01042,0.0
