fold,thr_val,thr_test,macroF1_val
1,0.49999999999999994,0.49839073419570923,0.4109090909090909
2,0.5499999999999999,0.5499999999999999,0.5785953177257526
3,0.44999999999999996,0.5220192074775696,0.4375
4,0.525,0.525,0.27554179566563464
5,0.475,0.5004099011421204,0.5324675324675324
6,0.475,0.5135167837142944,0.4581939799331104
