fold,acc,balanced_acc,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_c0,recall_c0,f1_c0,precision_c1,recall_c1,f1_c1,thr_val,thr_test,macroF1_val
1,0.4444444444444444,0.4125,0.25,0.125,0.16666666666666666,0.375,0.4125,0.375,0.5,0.7,0.5833333333333334,0.25,0.125,0.16666666666666666,0.49999999999999994,0.49839073419570923,0.4109090909090909
2,0.4444444444444444,0.5535714285714286,0.8333333333333334,0.35714285714285715,0.5,0.5416666666666667,0.5535714285714286,0.4375,0.25,0.75,0.375,0.8333333333333334,0.35714285714285715,0.5,0.5499999999999999,0.5499999999999999,0.5785953177257526
3,0.4444444444444444,0.4125,0.25,0.125,0.16666666666666666,0.375,0.4125,0.375,0.5,0.7,0.5833333333333334,0.25,0.125,0.16666666666666666,0.44999999999999996,0.5220192074775696,0.4375
4,0.3888888888888889,0.39230769230769236,0.625,0.38461538461538464,0.47619047619047616,0.4125,0.39230769230769236,0.37142857142857144,0.2,0.4,0.26666666666666666,0.625,0.38461538461538464,0.47619047619047616,0.525,0.525,0.27554179566563464
5,0.3333333333333333,0.3625,0.25,0.1,0.14285714285714285,0.3035714285714286,0.3625,0.2987012987012987,0.35714285714285715,0.625,0.45454545454545453,0.25,0.1,0.14285714285714285,0.475,0.5004099011421204,0.5324675324675324
6,0.5,0.6538461538461539,1.0,0.3076923076923077,0.47058823529411764,0.6785714285714286,0.6538461538461539,0.4984520123839009,0.35714285714285715,1.0,0.5263157894736842,1.0,0.3076923076923077,0.47058823529411764,0.475,0.5135167837142944,0.4581939799331104
