fold,thr,acc,precision,recall,f1,f1_macro
1,0.50571406,0.5555555555555556,0.5,0.375,0.42857142857142855,0.5324675324675324
2,0.47991347,0.5,1.0,0.35714285714285715,0.5263157894736842,0.4984520123839009
3,0.65,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077
4,0.52644384,0.7222222222222222,0.9,0.6923076923076923,0.782608695652174,0.6989966555183946
5,0.5686077,0.3888888888888889,0.3333333333333333,0.1,0.15384615384615385,0.3377926421404682
6,0.49269027,0.7222222222222222,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.6296296296296295
