fold,acc,precision,recall,f1,f1_macro
1,0.4444444444444444,0.4166666666666667,0.625,0.5,0.4375
2,0.2222222222222222,0.0,0.0,0.0,0.18181818181818182
3,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077
4,0.5,0.75,0.46153846153846156,0.5714285714285714,0.4857142857142857
5,0.6111111111111112,0.5882352941176471,1.0,0.7407407407407407,0.48148148148148145
6,0.2777777777777778,0.0,0.0,0.0,0.21739130434782608
