delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00041000000000002146,0.00068,-0.6355600000000017,-0.34520000000000195,0.00646,-0.0010499999999999954,0.0092,0.0
-0.00040000000000001146,0.001009999999999997,0.713000000000001,0.09809000000000268,0.0067800000000000004,0.0012399999999999634,0.015359999999999985,0.0
-0.00023000000000000798,0.0005799999999999972,-0.8782200000000024,-0.38042000000000087,0.00676,0.009560000000000013,-0.004339999999999983,0.0
-0.00046999999999997044,0.0009699999999999986,0.08664000000000271,-0.09928999999999988,0.0069,-0.007099999999999995,-0.008980000000000016,0.0
-0.0004899999999999904,0.0008900000000000019,0.07015999999999778,0.17191000000000045,0.006449999999999997,-0.0007699999999999929,-0.009759999999999991,0.0
-0.00039000000000000146,0.0005200000000000066,-0.13629999999999853,0.050269999999997594,0.006670000000000002,-0.010560000000000014,-0.0029600000000000043,0.0
-0.0006599999999999939,0.00019999999999999185,0.024020000000000152,0.02901000000000309,0.006330000000000002,0.0009200000000000319,-0.01208999999999999,0.0
-0.0006500000000000394,0.00016000000000000736,0.3135799999999982,0.004349999999998744,0.007079999999999996,-0.000160000000000049,-0.0025600000000000067,0.0
-0.00010999999999999899,0.0007699999999999929,-0.11141999999999896,-0.0951999999999984,0.006440000000000001,0.016390000000000016,0.026069999999999996,0.0
-0.00040000000000001146,0.0005399999999999988,-0.09332999999999814,-0.050140000000002516,0.006850000000000002,-0.012490000000000001,-0.001339999999999994,0.0
-0.00040999999999996595,0.0005300000000000027,0.02657999999999916,0.16114999999999924,0.006669999999999995,0.00046000000000001595,0.005650000000000002,0.0
-0.000140000000000029,0.0006099999999999994,-0.12367000000000061,0.056030000000003355,0.006780000000000008,0.003950000000000009,-0.0012900000000000134,0.0
0.00020000000000003348,0.0004900000000000043,0.048390000000001265,0.08508999999999745,0.0066900000000000015,0.014100000000000001,0.0026800000000000157,0.0
0.00021999999999999797,0.0006999999999999923,-0.06795000000000329,-0.22823999999999955,0.006279999999999994,0.00018999999999996797,0.003159999999999996,0.0
-0.00037000000000003697,0.0004100000000000076,0.12699000000000282,-0.00350999999999857,0.006930000000000006,-0.019459999999999977,-0.006110000000000004,0.0
-0.00025999999999998247,0.0009300000000000003,-0.029180000000000206,0.28045999999999793,0.006579999999999989,0.007969999999999977,-0.0012699999999999934,0.0
-0.00025999999999998247,0.001009999999999997,0.21614999999999895,0.1770200000000024,0.007060000000000011,4.999999999999449e-05,0.0006799999999999862,0.0
-0.0006700000000000039,0.0007599999999999968,-0.3058000000000014,-0.032280000000000086,0.006449999999999997,-0.008579999999999977,-0.0010399999999999854,0.0
-0.00036999999999998145,0.0009400000000000103,0.07557000000000258,-0.29094000000000264,0.006449999999999997,0.009089999999999987,0.024849999999999983,0.0
-0.00039000000000000146,0.0008099999999999913,0.06634999999999991,0.3155500000000018,0.0069200000000000095,0.0,0.0,0.0
