delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00010999999999999899,0.00027000000000000635,-0.5576300000000032,0.10016000000000247,0.00696,0.0011399999999999744,-0.030039999999999997,0.0
0.00031000000000003247,0.0009899999999999909,-0.24680999999999997,0.0553600000000003,0.00671,0.012199999999999989,0.05022,0.0
0.00030999999999997696,0.0010400000000000131,0.4103400000000015,0.4167299999999976,0.006470000000000002,0.0011099999999999999,0.009690000000000004,0.0
0.0,0.0011899999999999966,0.4194099999999992,-0.40052999999999983,0.0069599999999999974,-0.01369999999999999,0.0008700000000000097,0.0
-8.00000000000245e-05,0.0008799999999999919,-0.2625099999999989,-0.68919,0.006710000000000001,0.00657000000000002,-0.0019399999999999973,0.0
-9.999999999998899e-05,0.0006200000000000094,0.3135300000000001,-0.04823000000000022,0.0064700000000000035,-0.0007300000000000084,-0.007220000000000018,0.0
-0.00030999999999997696,0.0006999999999999923,0.20138000000000034,0.2278400000000005,0.006599999999999995,-0.01543,-0.007730000000000001,0.0
1.999999999996449e-05,-0.0002999999999999947,-1.4207500000000017,0.018119999999999692,0.006710000000000001,0.003190000000000026,-0.03927,0.0
1.0000000000010001e-05,-0.0003500000000000031,1.0975400000000022,0.5957600000000021,0.006839999999999999,-0.001040000000000041,-0.007529999999999995,0.0
-0.00028999999999995696,4.999999999999449e-05,-0.6068200000000026,-0.46568000000000254,0.006589999999999999,-0.006479999999999986,0.010709999999999997,0.0
-0.0001100000000000545,0.0003100000000000047,0.49771000000000143,0.2887000000000022,0.006830000000000003,0.014089999999999991,0.011540000000000009,0.0
-0.00010999999999999899,0.0004100000000000076,1.0194700000000019,0.47517999999999816,0.006720000000000004,0.0006300000000000194,0.0053299999999999875,0.0
-0.00027999999999994696,0.0003999999999999976,-0.9118300000000019,-0.08758999999999872,0.0063499999999999945,-0.006910000000000027,0.009490000000000012,0.0
-3.0000000000030003e-05,0.00036999999999999533,-0.5852700000000013,-0.7174399999999999,0.006830000000000003,0.009230000000000016,-0.0175,0.0
-1.0000000000010001e-05,0.0004800000000000082,0.19131000000000142,0.5028499999999987,0.0064700000000000035,0.0005600000000000049,0.004779999999999993,0.0
