fold,thr,acc,precision,recall,f1
1,0.55,0.4444444444444444,0.42857142857142855,0.3333333333333333,0.375
2,0.45,0.3333333333333333,0.0,0.0,0.0
3,0.51,0.5555555555555556,0.6363636363636364,0.6363636363636364,0.6363636363636364
4,0.45,0.7222222222222222,0.7058823529411765,1.0,0.8275862068965517
5,0.45,0.3333333333333333,0.0,0.0,0.0
6,0.45,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
