seed,thr,acc,precision,recall,f1,f1_macro
7,0.49,0.4090909090909091,0.5,0.38461538461538464,0.43478260869565216,0.4078674948240165
17,0.49999999999999994,0.5909090909090909,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.5686274509803921
23,0.51,0.5454545454545454,0.6,0.6923076923076923,0.6428571428571429,0.5089285714285714
42,0.51,0.6363636363636364,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.5809523809523809
57,0.6799999999999999,0.5,0.75,0.23076923076923078,0.35294117647058826,0.47276688453159044
