fold,acc,precision,recall,f1,n_test_files
1,0.7222222222222222,0.6428571428571429,1.0,0.782608695652174,18
2,0.5,0.6363636363636364,0.5833333333333334,0.6086956521739131,18
3,0.4444444444444444,0.5384615384615384,0.6363636363636364,0.5833333333333334,18
4,0.5,0.6363636363636364,0.5833333333333334,0.6086956521739131,18
5,0.6111111111111112,0.7777777777777778,0.5833333333333334,0.6666666666666666,18
6,0.4444444444444444,0.5,0.7,0.5833333333333334,18
