fold,thr,acc,precision,recall,f1,n_test_files
1,0.4,0.5,0.5,1.0,0.6666666666666666,18
2,0.4,0.6666666666666666,0.6875,0.9166666666666666,0.7857142857142857,18
3,0.4,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,18
4,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8,18
5,0.43000000000000005,0.6666666666666666,0.75,0.75,0.75,18
6,0.46,0.3888888888888889,0.46153846153846156,0.6,0.5217391304347826,18
