fold,thr,acc,precision,recall,f1,n_test_files
1,0.71,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625,18
2,0.5900000000000001,0.5,0.7142857142857143,0.4166666666666667,0.5263157894736842,18
3,0.49,0.6666666666666666,0.6470588235294118,1.0,0.7857142857142857,18
4,0.4,0.4444444444444444,0.5833333333333334,0.5833333333333334,0.5833333333333334,18
5,0.45,0.6111111111111112,0.6923076923076923,0.75,0.72,18
6,0.5,0.4444444444444444,0.5,0.7,0.5833333333333334,18
