fold,acc,precision,recall,f1,thr,w_cnn,w_trf,w_inc
1,0.5555555555555556,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.624,0.4,0.4,0.2
2,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5920000000000001,0.25,0.5,0.25
3,0.6666666666666666,0.6923076923076923,0.8181818181818182,0.75,0.624,0.3,0.4,0.3
4,0.5555555555555556,0.7,0.5833333333333334,0.6363636363636364,0.5940000000000001,0.1277,0.4681,0.4043
5,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4,0.2,0.5,0.3
6,0.5,0.5294117647058824,0.9,0.6666666666666666,0.62,0.2,0.5,0.3
