fold,seed,thr,acc,precision,recall,f1,f1_macro
1,7,0.53454053,0.5,0.42857142857142855,0.375,0.4,0.4857142857142857
2,7,0.4864168,0.5,1.0,0.35714285714285715,0.5263157894736842,0.4984520123839009
3,7,0.83008754,0.6666666666666666,0.6,0.75,0.6666666666666666,0.6666666666666666
4,17,0.4972097,0.4444444444444444,0.8,0.3076923076923077,0.4444444444444444,0.4444444444444444
5,23,0.50867105,0.3888888888888889,0.3333333333333333,0.1,0.15384615384615385,0.3377926421404682
6,23,0.4591022,0.5,0.75,0.46153846153846156,0.5714285714285714,0.4857142857142857
