fold,seed,thr,acc,precision,recall,f1,f1_macro
1,7,0.52,0.7222222222222222,0.8,0.5,0.6153846153846154,0.6989966555183946
2,7,0.47,0.2222222222222222,0.0,0.0,0.0,0.18181818181818182
3,17,0.25,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077
4,17,0.51,0.5,0.7,0.5384615384615384,0.6086956521739131,0.4581939799331104
5,17,0.5,0.4444444444444444,0.5,0.2,0.2857142857142857,0.41558441558441556
6,23,0.49,0.7222222222222222,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.6296296296296295
