fold,mode,acc,precision,recall,f1,thr,w_cnn,w_tcn,w_inc
1,stack_xgb,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.5171717171717172,,,
2,stack_xgb,0.4444444444444444,0.6,0.5,0.5454545454545454,0.4,,,
3,stack_xgb,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5494949494949495,,,
4,stack_xgb,0.7777777777777778,0.75,1.0,0.8571428571428571,0.4,,,
5,stack_xgb,0.4444444444444444,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4,,,
6,stack_xgb,0.5555555555555556,0.5714285714285714,0.8,0.6666666666666666,0.4,,,
