fold,thr,acc,precision,recall,f1
1,0.4,0.5,0.5,1.0,0.6666666666666666
2,0.46,0.5,0.6363636363636364,0.5833333333333334,0.6086956521739131
3,0.4,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724
4,0.47000000000000003,0.5555555555555556,0.625,0.8333333333333334,0.7142857142857143
5,0.4,0.7222222222222222,0.7058823529411765,1.0,0.8275862068965517
6,0.4,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
