file,column,outlier_rate
MIT_T2_User4_features.csv,delta_FPOGD,0.18933333333333333
MIT_T2_User4_features.csv,delta_BPOGX,0.029333333333333333
MIT_T2_User4_features.csv,delta_BPOGY,0.010666666666666666
MIT_T2_User4_features.csv,delta_BKDUR,0.0
MIT_T3_User13_features.csv,delta_FPOGX,0.09933333333333333
MIT_T3_User13_features.csv,delta_FPOGY,0.096
MIT_T3_User13_features.csv,delta_LPD,0.009333333333333334
MIT_T3_User13_features.csv,delta_RPD,0.0033333333333333335
MIT_T3_User13_features.csv,delta_FPOGD,0.14533333333333334
MIT_T3_User13_features.csv,delta_BPOGX,0.050666666666666665
MIT_T3_User13_features.csv,delta_BPOGY,0.027333333333333334
MIT_T3_User13_features.csv,delta_BKDUR,0.0
MIT_T3_User22_features.csv,delta_FPOGX,0.086
MIT_T3_User22_features.csv,delta_FPOGY,0.07266666666666667
MIT_T3_User22_features.csv,delta_LPD,0.02
MIT_T3_User22_features.csv,delta_RPD,0.018
MIT_T3_User22_features.csv,delta_FPOGD,0.12466666666666666
MIT_T3_User22_features.csv,delta_BPOGX,0.059333333333333335
MIT_T3_User22_features.csv,delta_BPOGY,0.035333333333333335
MIT_T3_User22_features.csv,delta_BKDUR,0.0
MIT_T3_User2_features.csv,delta_FPOGX,0.10133333333333333
MIT_T3_User2_features.csv,delta_FPOGY,0.08533333333333333
MIT_T3_User2_features.csv,delta_LPD,0.0006666666666666666
MIT_T3_User2_features.csv,delta_RPD,0.004666666666666667
MIT_T3_User2_features.csv,delta_FPOGD,0.19466666666666665
MIT_T3_User2_features.csv,delta_BPOGX,0.028
MIT_T3_User2_features.csv,delta_BPOGY,0.013333333333333334
MIT_T3_User2_features.csv,delta_BKDUR,0.0
MIT_T3_User35_features.csv,delta_FPOGX,0.12466666666666666
MIT_T3_User35_features.csv,delta_FPOGY,0.11933333333333333
MIT_T3_User35_features.csv,delta_LPD,0.026
MIT_T3_User35_features.csv,delta_RPD,0.01
MIT_T3_User35_features.csv,delta_FPOGD,0.12333333333333334
MIT_T3_User35_features.csv,delta_BPOGX,0.048
MIT_T3_User35_features.csv,delta_BPOGY,0.034666666666666665
MIT_T3_User35_features.csv,delta_BKDUR,0.0
MIT_T3_User6_features.csv,delta_FPOGX,0.10333333333333333
MIT_T3_User6_features.csv,delta_FPOGY,0.08533333333333333
MIT_T3_User6_features.csv,delta_LPD,0.021333333333333333
MIT_T3_User6_features.csv,delta_RPD,0.019333333333333334
MIT_T3_User6_features.csv,delta_FPOGD,0.16733333333333333
MIT_T3_User6_features.csv,delta_BPOGX,0.028666666666666667
MIT_T3_User6_features.csv,delta_BPOGY,0.02666666666666667
MIT_T3_User6_features.csv,delta_BKDUR,0.0
MIT_T3_User8_features.csv,delta_FPOGX,0.176
MIT_T3_User8_features.csv,delta_FPOGY,0.16
MIT_T3_User8_features.csv,delta_LPD,0.09066666666666667
MIT_T3_User8_features.csv,delta_RPD,0.114
MIT_T3_User8_features.csv,delta_FPOGD,0.2966666666666667
MIT_T3_User8_features.csv,delta_BPOGX,0.126
MIT_T3_User8_features.csv,delta_BPOGY,0.10466666666666667
MIT_T3_User8_features.csv,delta_BKDUR,0.0
Princeton_T1_User 12_features.csv,delta_FPOGX,0.12066666666666667
Princeton_T1_User 12_features.csv,delta_FPOGY,0.11133333333333334
Princeton_T1_User 12_features.csv,delta_LPD,0.004666666666666667
Princeton_T1_User 12_features.csv,delta_RPD,0.006
Princeton_T1_User 12_features.csv,delta_FPOGD,0.158
Princeton_T1_User 12_features.csv,delta_BPOGX,0.04466666666666667
Princeton_T1_User 12_features.csv,delta_BPOGY,0.042666666666666665
Princeton_T1_User 12_features.csv,delta_BKDUR,0.0
Princeton_T1_User 16_features.csv,delta_FPOGX,0.11133333333333334
