fold,thr,acc,precision,recall,f1,f1_macro
1,0.49999999999999994,0.4444444444444444,0.3333333333333333,0.25,0.2857142857142857,0.41558441558441556
2,0.48,0.4444444444444444,0.75,0.42857142857142855,0.5454545454545454,0.41558441558441556
3,0.6699999999999999,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077
4,0.43999999999999995,0.5555555555555556,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.5324675324675324
5,0.57,0.3333333333333333,0.25,0.1,0.14285714285714285,0.2987012987012987
6,0.49,0.6666666666666666,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5846153846153846
