input_file,output_file,rows_in,rows_out,padded_rows,truncated_rows,n_cols_out,columns_ok
harvard_t1_user31_gaze.csv,harvard_t1_user31_features.csv,6159,1500,0,4659,16,1
harvard_t1_user3_gaze.csv,harvard_t1_user3_features.csv,8597,1500,0,7097,16,1
harvard_t1_user4_gaze.csv,harvard_t1_user4_features.csv,3274,1500,0,1774,16,1
harvard_t2_user10_gaze.csv,harvard_t2_user10_features.csv,7254,1500,0,5754,16,1
harvard_t2_user25_gaze.csv,harvard_t2_user25_features.csv,6476,1500,0,4976,16,1
harvard_t2_user26_gaze.csv,harvard_t2_user26_features.csv,6863,1500,0,5363,16,1
harvard_t2_user2_gaze.csv,harvard_t2_user2_features.csv,4243,1500,0,2743,16,1
harvard_t2_user33_gaze.csv,harvard_t2_user33_features.csv,15798,1500,0,14298,16,1
harvard_t2_user36_gaze.csv,harvard_t2_user36_features.csv,14115,1500,0,12615,16,1
harvard_t2_user8_gaze.csv,harvard_t2_user8_features.csv,17438,1500,0,15938,16,1
harvard_t3_user24_gaze.csv,harvard_t3_user24_features.csv,19204,1500,0,17704,16,1
harvard_t3_user27_gaze.csv,harvard_t3_user27_features.csv,10083,1500,0,8583,16,1
harvard_t3_user28_gaze.csv,harvard_t3_user28_features.csv,29569,1500,0,28069,16,1
harvard_t3_user34_gaze.csv,harvard_t3_user34_features.csv,4276,1500,0,2776,16,1
harvard_t3_user7_gaze.csv,harvard_t3_user7_features.csv,38381,1500,0,36881,16,1
stanford_t1_user23_gaze.csv,stanford_t1_user23_features.csv,29274,1500,0,27774,16,1
stanford_t1_user27_gaze.csv,stanford_t1_user27_features.csv,14086,1500,0,12586,16,1
stanford_t1_user2_gaze.csv,stanford_t1_user2_features.csv,25861,1500,0,24361,16,1
stanford_t1_user33_gaze.csv,stanford_t1_user33_features.csv,28921,1500,0,27421,16,1
stanford_t1_user34_gaze.csv,stanford_t1_user34_features.csv,13924,1500,0,12424,16,1
stanford_t1_user8_gaze.csv,stanford_t1_user8_features.csv,15367,1500,0,13867,16,1
stanford_t2_user18_gaze.csv,stanford_t2_user18_features.csv,19495,1500,0,17995,16,1
stanford_t2_user1_gaze.csv,stanford_t2_user1_features.csv,13416,1500,0,11916,16,1
stanford_t2_user20_gaze.csv,stanford_t2_user20_features.csv,9074,1500,0,7574,16,1
stanford_t2_user24_gaze.csv,stanford_t2_user24_features.csv,32842,1500,0,31342,16,1
stanford_t2_user6_gaze.csv,stanford_t2_user6_features.csv,24081,1500,0,22581,16,1
stanford_t2_user7_gaze.csv,stanford_t2_user7_features.csv,24565,1500,0,23065,16,1
stanford_t3_user 4_gaze.csv,stanford_t3_user 4_features.csv,4354,1500,0,2854,16,1
stanford_t3_user12_gaze.csv,stanford_t3_user12_features.csv,5417,1500,0,3917,16,1
stanford_t3_user14_gaze.csv,stanford_t3_user14_features.csv,27753,1500,0,26253,16,1
stanford_t3_user16_gaze.csv,stanford_t3_user16_features.csv,22804,1500,0,21304,16,1
stanford_t3_user17_gaze.csv,stanford_t3_user17_features.csv,16524,1500,0,15024,16,1
stanford_t3_user5_gaze.csv,stanford_t3_user5_features.csv,13374,1500,0,11874,16,1
yale_t1_user13_gaze.csv,yale_t1_user13_features.csv,5847,1500,0,4347,16,1
yale_t1_user18_gaze.csv,yale_t1_user18_features.csv,6506,1500,0,5006,16,1
yale_t1_user1_gaze.csv,yale_t1_user1_features.csv,28287,1500,0,26787,16,1
yale_t1_user20_gaze.csv,yale_t1_user20_features.csv,7772,1500,0,6272,16,1
