fold,thr,acc,precision,recall,f1,f1_macro
1,0.5138578,0.5,0.42857142857142855,0.375,0.4,0.4857142857142857
2,0.49292845,0.2222222222222222,0.0,0.0,0.0,0.18181818181818182
3,0.5135206,0.3888888888888889,0.36363636363636365,0.5,0.42105263157894735,0.38699690402476783
4,0.49048913,0.5555555555555556,0.8571428571428571,0.46153846153846156,0.6,0.55
5,0.46838418,0.4444444444444444,0.5,0.6,0.5454545454545454,0.41558441558441556
6,0.34296152,0.7777777777777778,0.7647058823529411,1.0,0.8666666666666667,0.6
