fold,acc,precision,recall,f1,f1_macro
1,0.5,0.46153846153846156,0.75,0.5714285714285714,0.4857142857142857
2,0.2222222222222222,0.0,0.0,0.0,0.18181818181818182
3,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077
4,0.2777777777777778,0.0,0.0,0.0,0.21739130434782608
5,0.3888888888888889,0.3333333333333333,0.1,0.15384615384615385,0.3377926421404682
6,0.2777777777777778,0.0,0.0,0.0,0.21739130434782608
