FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.0,0.0,14.71153,13.36328,0.0,0.46106,0.26774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.71153,13.36328,0.0,0.46106,0.26774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51369,-0.86963,17.97425,16.66239,0.0,0.51369,-0.86963,0.14707,0.51369,-0.86963,3.26272,3.29911,0.0,0.05263,-1.13737,0.14707
0.51479,-0.76182,18.04516,17.39941,0.0,0.51588,-0.65401,0.0,0.0011,0.10781,0.07091,0.73702,0.0,0.00219,0.21562,-0.14707
0.51403,-0.60738,18.18575,17.18274,0.0,0.51252,-0.29851,0.0,-0.00076,0.15444,0.14059,-0.21667,0.0,-0.00336,0.3555,0.0
0.51407,-0.3251,18.24617,16.95981,0.0,0.51381,-0.02278,0.0,4e-05,0.28228,0.06042,-0.22293,0.0,0.00129,0.27573,0.0
0.51646,-0.04711,18.1487,17.22721,0.0,0.51884,0.23087,0.0,0.00239,0.27799,-0.09747,0.2674,0.0,0.00503,0.25365,0.0
0.51424,0.05274,18.00282,17.10346,0.0,0.50981,0.25245,0.0,-0.00222,0.09985,-0.14588,-0.12375,0.0,-0.00903,0.02158,0.0
0.51581,0.24978,18.20648,16.85787,0.0,0.51877,0.266,0.0,0.00157,0.19704,0.20366,-0.24559,0.0,0.00896,0.01355,0.0
0.51723,0.25513,17.84235,17.03804,0.0,0.51865,0.26049,0.0,0.00142,0.00535,-0.36413,0.18017,0.0,-0.00012,-0.00551,0.0
0.51896,0.24822,17.73412,16.71781,0.0,0.52242,0.23438,0.0,0.00173,-0.00691,-0.10823,-0.32023,0.0,0.00377,-0.02611,0.0
0.51679,0.24885,18.2962,16.77814,0.02005,0.51027,0.25077,0.0,-0.00217,0.00063,0.56208,0.06033,0.02005,-0.01215,0.01639,0.0
0.51545,0.24853,18.13815,17.12869,0.02692,0.5101,0.24722,0.0,-0.00134,-0.00032,-0.15805,0.35055,0.00687,-0.00017,-0.00355,0.0
0.51469,0.25816,18.31597,16.98702,0.03363,0.5109,0.30635,0.0,-0.00076,0.00963,0.17782,-0.14167,0.00671,0.0008,0.05913,0.0
0.51449,0.26137,17.68419,16.7581,0.03995,0.51327,0.2806,0.0,-0.0002,0.00321,-0.63178,-0.22892,0.00632,0.00237,-0.02575,0.0
0.51437,0.26516,18.49135,17.05383,0.04697,0.51358,0.29168,0.0,-0.00012,0.00379,0.80716,0.29573,0.00702,0.00031,0.01108,0.0
0.51295,0.2663,17.54626,16.90267,0.05371,0.50158,0.27544,0.0,-0.00142,0.00114,-0.94509,-0.15116,0.00674,-0.012,-0.01624,0.0
0.51271,0.26682,18.12595,16.62353,0.06024,0.51051,0.27154,0.0,-0.00024,0.00052,0.57969,-0.27914,0.00653,0.00893,-0.0039,0.0
0.51248,0.26653,18.26041,16.9274,0.06714,0.51025,0.26363,0.0,-0.00023,-0.00029,0.13446,0.30387,0.0069,-0.00026,-0.00791,0.0
0.51245,0.26848,18.26877,16.48571,0.0741,0.51208,0.28986,0.0,-3e-05,0.00195,0.00836,-0.44169,0.00696,0.00183,0.02623,0.0
0.51331,0.26745,17.9951,16.95702,0.08051,0.52366,0.25513,0.0,0.00086,-0.00103,-0.27367,0.47131,0.00641,0.01158,-0.03473,0.0
0.51405,0.26657,18.71589,17.3679,0.08749,0.52366,0.25513,0.0,0.00074,-0.00088,0.72079,0.41088,0.00698,0.0,0.0,0.0
0.5139,0.26511,17.36397,16.69652,0.09375,0.51171,0.24465,0.0,-0.00015,-0.00146,-1.35192,-0.67138,0.00626,-0.01195,-0.01048,0.0
0.51374,0.26448,18.05648,17.27593,0.10022,0.51142,0.25497,0.0,-0.00016,-0.00063,0.69251,0.57941,0.00647,-0.00029,0.01032,0.0
0.5136,0.26362,17.96733,17.22578,0.10721,0.51125,0.24998,0.0,-0.00014,-0.00086,-0.08915,-0.05015,0.00699,-0.00017,-0.00499,0.0
0.51472,0.2623,17.88154,16.81814,0.11429,0.53377,0.23976,0.0,0.00112,-0.00132,-0.08579,-0.40764,0.00708,0.02252,-0.01022,0.0
0.51451,0.26106,18.45991,17.13337,0.12054,0.51087,0.23886,0.0,-0.00021,-0.00124,0.57837,0.31523,0.00625,-0.0229,-0.0009,0.0
0.51433,0.25975,18.32575,17.3149,0.12726,0.51074,0.23477,0.0,-0.00018,-0.00131,-0.13416,0.18153,0.00672,-0.00013,-0.00409,0.0
0.51378,0.2584,17.66763,17.29639,0.13391,0.50294,0.23148,0.0,-0.00055,-0.00135,-0.65812,-0.01851,0.00665,-0.0078,-0.00329,0.0
0.5142,0.26043,17.69261,16.77737,0.14041,0.5229,0.30293,0.0,0.00042,0.00203,0.02498,-0.51902,0.0065,0.01996,0.07145,0.0
0.51458,0.26265,18.20079,16.80183,0.14749,0.52306,0.31157,0.0,0.00038,0.00222,0.50818,0.02446,0.00708,0.00016,0.00864,0.0
0.51454,0.26251,18.59542,17.31563,0.15408,0.51357,0.25933,0.0,-4e-05,-0.00014,0.39463,0.5138,0.00659,-0.00949,-0.05224,0.0
0.51457,0.26284,18.59772,17.31306,0.16113,0.51536,0.2706,0.0,3e-05,0.00033,0.0023,-0.00257,0.00705,0.00179,0.01127,0.0
0.5146,0.26313,18.82864,17.29174,0.16769,0.51536,0.2706,0.0,3e-05,0.00029,0.23092,-0.02132,0.00656,0.0,0.0,0.0
0.51521,0.26298,17.66126,17.55638,0.17456,0.53095,0.25905,0.0,0.00061,-0.00015,-1.16738,0.26464,0.00687,0.01559,-0.01155,0.0
0.51567,0.26272,17.59293,17.56746,0.18088,0.52824,0.25557,0.0,0.00046,-0.00026,-0.06833,0.01108,0.00632,-0.00271,-0.00348,0.0
0.51611,0.26258,18.61854,17.67077,0.18796,0.52837,0.25866,0.0,0.00044,-0.00014,1.02561,0.10331,0.00708,0.00013,0.00309,0.0
0.51601,0.2634,18.14404,17.30186,0.19427,0.51293,0.28728,0.0,-1e-04,0.00082,-0.4745,-0.36891,0.00631,-0.01544,0.02862,0.0
0.51646,0.26339,18.13541,17.60025,0.20117,0.53016,0.26317,0.0,0.00045,-1e-05,-0.00863,0.29839,0.0069,0.01723,-0.02411,0.0
0.51689,0.26326,18.35142,17.72995,0.20767,0.52997,0.2591,0.0,0.00043,-0.00013,0.21601,0.1297,0.0065,-0.00019,-0.00407,0.0
0.51719,0.26337,17.74259,17.58327,0.21432,0.52685,0.26693,0.0,0.0003,0.00011,-0.60883,-0.14668,0.00665,-0.00312,0.00783,0.0
0.5169,0.26428,17.73511,17.41793,0.22119,0.50743,0.29443,0.0,-0.00029,0.00091,-0.00748,-0.16534,0.00687,-0.01942,0.0275,0.0
0.51664,0.26551,18.75868,17.27201,0.22791,0.50791,0.30727,0.0,-0.00026,0.00123,1.02357,-0.14592,0.00672,0.00048,0.01284,0.0
0.51681,0.26581,18.59545,17.23924,0.23441,0.5225,0.27638,0.0,0.00017,0.0003,-0.16323,-0.03277,0.0065,0.01459,-0.03089,0.0
0.51637,0.26673,18.48766,17.02238,0.24112,0.50073,0.29964,0.0,-0.00044,0.00092,-0.10779,-0.21686,0.00671,-0.02177,0.02326,0.0
0.51596,0.26759,18.76599,17.2196,0.24796,0.50073,0.29964,0.0,-0.00041,0.00086,0.27833,0.19722,0.00684,0.0,0.0,0.0
0.51352,0.26757,18.32884,17.94477,0.25494,0.42073,0.26678,0.0,-0.00244,-2e-05,-0.43715,0.72517,0.00698,-0.08,-0.03286,0.0
