FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.39168,0.07252,27.02525,21.95032,0.25391,0.38618,0.02837,0.0,-0.00012,-0.00098,-0.52068,-0.31972,0.00586,-0.0008,-0.00382,0.0
0.39156,0.07158,27.33301,23.77285,0.26123,0.38618,0.02837,0.0,-0.00012,-0.00094,0.30776,1.82253,0.00732,0.0,0.0,0.0
0.38527,0.04359,27.3347,22.21639,0.26123,0.37835,0.03747,0.0,-0.00629,-0.02799,0.00169,-1.55646,0.0,-0.00783,0.0091,0.0
0.38157,0.02753,27.30707,22.0484,0.26123,0.37786,0.01147,0.0,-0.0037,-0.01606,-0.02763,-0.16799,0.0,-0.00049,-0.026,0.0
0.38069,0.02588,27.58139,24.21894,0.26123,0.37894,0.02256,0.0,-0.00088,-0.00165,0.27432,2.17054,0.0,0.00108,0.01109,0.0
0.38151,0.03456,27.65303,22.20792,0.02002,0.38397,0.06061,0.0,0.00082,0.00868,0.07164,-2.01102,-0.24121,0.00503,0.03805,0.0
0.38276,0.03552,27.49528,22.0427,0.02686,0.38778,0.03937,0.0,0.00125,0.00096,-0.15775,-0.16522,0.00684,0.00381,-0.02124,0.0
0.38381,0.03849,27.55218,24.22975,0.03369,0.38904,0.05334,0.0,0.00105,0.00297,0.0569,2.18705,0.00683,0.00126,0.01397,0.0
0.3846,0.04378,27.51326,22.35059,0.04053,0.38935,0.07554,0.0,0.00079,0.00529,-0.03892,-1.87916,0.00684,0.00031,0.0222,0.0
0.3859,0.04859,27.12616,22.3421,0.04688,0.39499,0.08223,0.0,0.0013,0.00481,-0.3871,-0.00849,0.00635,0.00564,0.00669,0.0
0.38691,0.05231,27.67703,24.63079,0.05371,0.39498,0.08209,0.0,0.00101,0.00372,0.55087,2.28869,0.00683,-1e-05,-0.00014,0.0
0.38717,0.05549,27.42993,22.30977,0.06055,0.38954,0.0841,0.0,0.00026,0.00318,-0.2471,-2.32102,0.00684,-0.00544,0.00201,0.0
0.38707,0.05797,27.64435,22.17516,0.06738,0.38603,0.08275,0.0,-1e-04,0.00248,0.21442,-0.13461,0.00683,-0.00351,-0.00135,0.0
0.38698,0.06003,27.45075,24.13901,0.07373,0.38603,0.08275,0.0,-9e-05,0.00206,-0.1936,1.96385,0.00635,0.0,0.0,0.0
0.38671,0.06172,27.7161,22.34511,0.08057,0.38341,0.08199,0.0,-0.00027,0.00169,0.26535,-1.7939,0.00684,-0.00262,-0.00076,0.0
0.38651,0.06403,27.78813,22.26856,0.0874,0.38395,0.09404,0.0,-0.0002,0.00231,0.07203,-0.07655,0.00683,0.00054,0.01205,0.0
0.38635,0.06619,27.94706,24.10224,0.09375,0.38416,0.09645,0.0,-0.00016,0.00216,0.15893,1.83368,0.00635,0.00021,0.00241,0.0
0.38636,0.06895,27.39384,22.16632,0.10059,0.38639,0.11031,0.0,1e-05,0.00276,-0.55322,-1.93592,0.00684,0.00223,0.01386,0.0
0.38597,0.07981,23.13634,20.79931,0.10742,0.37976,0.25362,0.0,-0.00039,0.01086,-4.2575,-1.36701,0.00683,-0.00663,0.14331,0.0
0.38651,0.11481,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.00054,0.035,-3.74941,-2.41432,0.0,-0.00024,-0.00174,0.0
0.38651,0.11481,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38651,0.11481,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,-0.38651,-0.11481,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.38693,18.38499,0.10742,0.37952,0.25188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22091,0.04104,18.73224,18.38499,0.10742,0.44182,0.08208,0.10695,0.22091,0.04104,-0.65469,0.0,0.0,0.0623,-0.1698,0.10695
0.41974,0.09977,21.29764,18.5983,0.10742,0.39766,0.11745,0.0,0.19883,0.05873,2.5654,0.21331,0.0,-0.04416,0.03537,-0.10695
0.42365,0.07909,20.88229,18.40703,0.10742,0.42755,0.05841,0.0,0.00391,-0.02068,-0.41535,-0.19127,0.0,0.02989,-0.05904,0.0
0.42333,0.07237,20.82104,18.21845,0.10742,0.42271,0.05894,0.0,-0.00032,-0.00672,-0.06125,-0.18858,0.0,-0.00484,0.00053,0.0
