FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.47511,0.05234,35.41381,36.23109,0.0,0.47874,0.05068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4754,0.05283,35.40359,35.39665,0.00671,0.47865,0.05817,0.0,0.00029,0.00049,-0.01022,-0.83444,0.00671,-9e-05,0.00749,0.0
0.47517,0.05364,35.05873,35.31409,0.01349,0.47233,0.06332,0.0,-0.00023,0.00081,-0.34486,-0.08256,0.00678,-0.00632,0.00515,0.0
0.47487,0.05505,34.79,36.2576,0.02066,0.47107,0.07341,0.0,-0.0003,0.00141,-0.26873,0.94351,0.00717,-0.00126,0.01009,0.0
0.47462,0.05602,34.46279,35.80603,0.02719,0.47104,0.06958,0.0,-0.00025,0.00097,-0.32721,-0.45157,0.00653,-3e-05,-0.00383,0.0
0.47473,0.05682,35.02573,36.61331,0.03363,0.47637,0.06889,0.0,0.00011,0.0008,0.56294,0.80728,0.00644,0.00533,-0.00069,0.0
0.47481,0.05595,35.06595,35.95135,0.04037,0.47609,0.04198,0.0,8e-05,-0.00087,0.04022,-0.66196,0.00674,-0.00028,-0.02691,0.0
0.47488,0.05497,35.07718,35.59986,0.04706,0.4761,0.03836,0.0,7e-05,-0.00098,0.01123,-0.35149,0.00669,1e-05,-0.00362,0.0
0.47442,0.05465,34.81056,35.72903,0.05368,0.46611,0.04886,0.0,-0.00046,-0.00032,-0.26662,0.12917,0.00662,-0.00999,0.0105,0.0
0.4743,0.05474,35.17476,35.10613,0.06036,0.47198,0.05656,0.0,-0.00012,9e-05,0.3642,-0.6229,0.00668,0.00587,0.0077,0.0
0.47419,0.05518,35.54095,35.38556,0.06683,0.47194,0.064,0.0,-0.00011,0.00044,0.36619,0.27943,0.00647,-4e-05,0.00744,0.0
0.47439,0.05504,34.55592,36.46802,0.07358,0.47866,0.05193,0.0,0.0002,-0.00014,-0.98503,1.08246,0.00675,0.00672,-0.01207,0.0
0.47426,0.05518,35.14814,36.23433,0.0805,0.47139,0.05836,0.0,-0.00013,0.00014,0.59222,-0.23369,0.00692,-0.00727,0.00643,0.0
0.47414,0.05531,34.84217,35.61496,0.08682,0.47139,0.05836,0.0,-0.00012,0.00013,-0.30597,-0.61937,0.00632,0.0,0.0,0.0
0.47413,0.0556,35.07218,35.41563,0.09338,0.47393,0.06254,0.0,-1e-05,0.00029,0.23001,-0.19933,0.00656,0.00254,0.00418,0.0
