FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.35376,0.05654,22.60698,21.89345,0.25427,0.34901,0.06431,0.0,-0.00018,0.00091,-0.11873,-0.00541,0.00671,0.00636,0.00229,0.0
0.35388,0.05715,22.81688,21.86883,0.26172,0.35333,0.04775,0.0,0.00012,0.00061,0.2099,-0.02462,0.00745,0.00432,-0.01656,0.0
0.35399,0.05756,22.87812,21.93422,0.268,0.35333,0.04775,0.0,0.00011,0.00041,0.06124,0.06539,0.00628,0.0,0.0,0.0
0.35411,0.05783,22.84022,21.84739,0.27472,0.34756,0.0536,0.0,0.00012,0.00027,-0.0379,-0.08683,0.00672,-0.00577,0.00585,0.0
0.35407,0.05769,22.93608,21.89663,0.28137,0.34314,0.05341,0.0,-4e-05,-0.00014,0.09586,0.04924,0.00665,-0.00442,-0.00019,0.0
0.35402,0.05748,22.70159,21.89663,0.28772,0.34314,0.05341,0.0,-5e-05,-0.00021,-0.23449,0.0,0.00635,0.0,0.0,0.0
0.35374,0.05746,22.88073,21.69741,0.29474,0.3388,0.05861,0.0,-0.00028,-2e-05,0.17914,-0.19922,0.00702,-0.00434,0.0052,0.0
0.35344,0.05752,22.93041,21.70176,0.30133,0.33692,0.05756,0.0,-0.0003,6e-05,0.04968,0.00435,0.00659,-0.00188,-0.00105,0.0
0.35318,0.05796,22.98022,21.71042,0.30792,0.33801,0.06694,0.0,-0.00026,0.00044,0.04981,0.00866,0.00659,0.00109,0.00938,0.0
0.35367,0.05842,23.11203,21.65361,0.31482,0.37584,0.08238,0.0,0.00049,0.00046,0.13181,-0.05681,0.0069,0.03783,0.01544,0.0
0.35403,0.05941,22.88843,21.70877,0.32153,0.37283,0.11094,0.0,0.00036,0.00099,-0.2236,0.05516,0.00671,-0.00301,0.02856,0.0
0.35439,0.0604,22.96017,21.7162,0.32788,0.37359,0.11745,0.0,0.00036,0.00099,0.07174,0.00743,0.00635,0.00076,0.00651,0.0
0.35466,0.06027,22.80839,21.70641,0.33423,0.37085,0.07151,0.0,0.00027,-0.00013,-0.15178,-0.00979,0.00635,-0.00274,-0.04594,0.0
0.35476,0.06037,22.69691,21.68372,0.34137,0.36675,0.08862,0.0,1e-04,1e-04,-0.11148,-0.02269,0.00714,-0.0041,0.01711,0.0
0.35485,0.06049,22.77226,21.48559,0.34833,0.36618,0.08561,0.0,9e-05,0.00012,0.07535,-0.19813,0.00696,-0.00057,-0.00301,0.0
0.35483,0.06075,22.6369,21.4235,0.35492,0.36045,0.06907,0.0,-2e-05,0.00026,-0.13536,-0.06209,0.00659,-0.00573,-0.01654,0.0
0.35479,0.06131,22.73831,21.28211,0.36139,0.35928,0.07627,0.0,-4e-05,0.00056,0.10141,-0.14139,0.00647,-0.00117,0.0072,0.0
0.35479,0.06213,22.80153,21.28211,0.36798,0.36042,0.08182,0.0,0.0,0.00082,0.06322,0.0,0.00659,0.00114,0.00555,0.0
0.35473,0.06266,22.95675,21.28261,0.37536,0.35679,0.07699,0.0,-6e-05,0.00053,0.15522,0.0005,0.00738,-0.00363,-0.00483,0.0
0.35462,0.06312,22.90955,21.1899,0.38159,0.35351,0.07556,0.0,-0.00011,0.00046,-0.0472,-0.09271,0.00623,-0.00328,-0.00143,0.0
0.35448,0.06332,22.76593,21.17019,0.38824,0.35182,0.06271,0.0,-0.00014,0.0002,-0.14362,-0.01971,0.00665,-0.00169,-0.01285,0.0
0.35423,0.06362,22.34427,21.10345,0.39496,0.34752,0.05277,0.0,-0.00025,0.0003,-0.42166,-0.06674,0.00672,-0.0043,-0.00994,0.0
0.35399,0.06379,22.39252,21.3355,0.40155,0.3451,0.04528,0.0,-0.00024,0.00017,0.04825,0.23205,0.00659,-0.00242,-0.00749,0.0
0.35372,0.06382,22.44006,21.3807,0.40838,0.34427,0.03911,0.0,-0.00027,3e-05,0.04754,0.0452,0.00683,-0.00083,-0.00617,0.0
0.35343,0.06394,22.08825,21.1072,0.4151,0.34338,0.04173,0.0,-0.00029,0.00012,-0.35181,-0.2735,0.00672,-0.00089,0.00262,0.0
0.35344,0.06399,22.0982,20.89509,0.42181,0.35331,0.0376,0.0,1e-05,5e-05,0.00995,-0.21211,0.00671,0.00993,-0.00413,0.0
0.35345,0.06397,22.0982,20.71863,0.42853,0.35331,0.0376,0.0,1e-05,-2e-05,0.0,-0.17646,0.00672,0.0,0.0,0.0
0.35344,0.06412,21.97379,20.62223,0.435,0.34895,0.04582,0.0,-1e-05,0.00015,-0.12441,-0.0964,0.00647,-0.00436,0.00822,0.0
0.35353,0.06419,21.84978,20.50878,0.44208,0.35253,0.04736,0.0,9e-05,7e-05,-0.12401,-0.11345,0.00708,0.00358,0.00154,0.0
0.35358,0.06399,21.85482,20.68329,0.44842,0.35253,0.04736,0.0,5e-05,-0.0002,0.00504,0.17451,0.00634,0.0,0.0,0.0
0.35297,0.06325,21.90793,20.35524,0.45532,0.33668,0.04043,0.0,-0.00061,-0.00074,0.05311,-0.32805,0.0069,-0.01585,-0.00693,0.0
0.35258,0.06235,21.73109,20.44614,0.46185,0.34277,0.03746,0.0,-0.00039,-0.0009,-0.17684,0.0909,0.00653,0.00609,-0.00297,0.0
0.3522,0.06145,21.62601,20.44614,0.46863,0.34277,0.03746,0.0,-0.00038,-0.0009,-0.10508,0.0,0.00678,0.0,0.0,0.0
0.35182,0.06067,21.66445,20.27974,0.47558,0.3433,0.03704,0.0,-0.00038,-0.00078,0.03844,-0.1664,0.00695,0.00053,-0.00042,0.0
0.3514,0.05994,21.43317,20.10677,0.4823,0.34103,0.03679,0.0,-0.00042,-0.00073,-0.23128,-0.17297,0.00672,-0.00227,-0.00025,0.0
0.35099,0.05935,21.44496,20.09403,0.48919,0.34103,0.03679,0.0,-0.00041,-0.00059,0.01179,-0.01274,0.00689,0.0,0.0,0.0
0.35082,0.05864,21.15578,19.76992,0.49548,0.34987,0.04377,0.0,-0.00017,-0.00071,-0.28918,-0.32411,0.00629,0.00884,0.00698,0.0
0.35068,0.05783,21.31154,19.21557,0.50189,0.3497,0.03817,0.0,-0.00014,-0.00081,0.15576,-0.55435,0.00641,-0.00017,-0.0056,0.0
0.35057,0.0573,21.33014,19.35767,0.50903,0.3507,0.04787,0.0,-0.00011,-0.00053,0.0186,0.1421,0.00714,0.001,0.0097,0.0
0.35063,0.05718,21.18801,19.3203,0.51507,0.35587,0.05573,0.0,6e-05,-0.00012,-0.14213,-0.03737,0.00604,0.00517,0.00786,0.0
0.35086,0.05745,21.17702,19.38663,0.52252,0.36161,0.06481,0.0,0.00023,0.00027,-0.01099,0.06633,0.00745,0.00574,0.00908,0.0
0.35113,0.05799,20.90503,19.39171,0.52875,0.36244,0.07163,0.0,0.00027,0.00054,-0.27199,0.00508,0.00623,0.00083,0.00682,0.0
0.35156,0.05839,20.66746,19.27422,0.53546,0.36655,0.06974,0.0,0.00043,0.0004,-0.23757,-0.11749,0.00671,0.00411,-0.00189,0.0
0.35208,0.05869,20.66746,18.97219,0.5423,0.36988,0.0656,0.0,0.00052,0.0003,0.0,-0.30203,0.00684,0.00333,-0.00414,0.0
0.35258,0.05886,20.58165,19.00139,0.54925,0.36917,0.05938,0.0,0.0005,0.00017,-0.08581,0.0292,0.00695,-0.00071,-0.00622,0.0
0.35237,0.05819,20.15721,18.85179,0.55591,0.33281,0.02943,0.0,-0.00021,-0.00067,-0.42444,-0.1496,0.00666,-0.03636,-0.02995,0.0
0.35154,0.05684,20.2416,19.10556,0.56219,0.30256,-0.00265,0.0,-0.00083,-0.00135,0.08439,0.25377,0.00628,-0.03025,-0.03208,0.0
0.3507,0.05549,20.62062,18.87582,0.56915,0.30256,-0.00265,0.0,-0.00084,-0.00135,0.37902,-0.22974,0.00696,0.0,0.0,0.0
0.34931,0.05374,20.25783,18.48524,0.57611,0.28222,-0.01963,0.0,-0.00139,-0.00175,-0.36279,-0.39058,0.00696,-0.02034,-0.01698,0.0
0.34786,0.05255,20.0292,18.48507,0.58233,0.28345,-0.00972,0.0,-0.00145,-0.00119,-0.22863,-0.00017,0.00622,0.00123,0.00991,0.0
0.33105,0.031,19.94505,18.54459,0.58233,0.28345,-0.00972,0.0,-0.01681,-0.02155,-0.08415,0.05952,0.0,0.0,0.0,0.0
0.31244,-0.00347,20.10305,18.78078,0.58233,0.29383,-0.03793,0.0,-0.01861,-0.03447,0.158,0.23619,0.0,0.01038,-0.02821,0.0
0.30655,-0.0134,20.03066,18.74583,0.58233,0.29478,-0.03326,0.0,-0.00589,-0.00993,-0.07239,-0.03495,0.0,0.00095,0.00467,0.0
0.30389,-0.01667,20.00404,18.74825,0.02051,0.29591,-0.0265,0.0,-0.00266,-0.00327,-0.02662,0.00242,-0.56182,0.00113,0.00676,0.0
0.30322,-0.01782,19.71895,18.9031,0.02673,0.30052,-0.0224,0.0,-0.00067,-0.00115,-0.28509,0.15485,0.00622,0.00461,0.0041,0.0
0.30338,-0.0178,19.60698,18.9031,0.03375,0.30417,-0.01772,0.0,0.00016,2e-05,-0.11197,0.0,0.00702,0.00365,0.00468,0.0
0.30365,-0.01682,19.77278,18.84336,0.04065,0.30527,-0.01092,0.0,0.00027,0.00098,0.1658,-0.05974,0.0069,0.0011,0.0068,0.0
0.3029,-0.01538,19.41674,18.41798,0.04718,0.29766,-0.00529,0.0,-0.00075,0.00144,-0.35604,-0.42538,0.00653,-0.00761,0.00563,0.0
0.30255,-0.01407,19.49773,18.54428,0.05402,0.29973,-0.00364,0.0,-0.00035,0.00131,0.08099,0.1263,0.00684,0.00207,0.00165,0.0
0.30223,-0.01341,19.255,18.08645,0.06067,0.29935,-0.00744,0.0,-0.00032,0.00066,-0.24273,-0.45783,0.00665,-0.00038,-0.0038,0.0
0.30205,-0.01298,19.68475,18.05448,0.06738,0.30028,-0.00863,0.0,-0.00018,0.00043,0.42975,-0.03197,0.00671,0.00093,-0.00119,0.0
0.30178,-0.01326,19.62253,18.09572,0.07422,0.2988,-0.01636,0.0,-0.00027,-0.00028,-0.06222,0.04124,0.00684,-0.00148,-0.00773,0.0
0.30146,-0.01406,19.6279,18.08147,0.08093,0.29758,-0.02371,0.0,-0.00032,-0.0008,0.00537,-0.01425,0.00671,-0.00122,-0.00735,0.0
0.30128,-0.01486,19.61947,18.11747,0.08765,0.29902,-0.02528,0.0,-0.00018,-0.0008,-0.00843,0.036,0.00672,0.00144,-0.00157,0.0
0.30124,-0.01546,19.6075,18.16339,0.0943,0.30071,-0.02378,0.0,-4e-05,-0.0006,-0.01197,0.04592,0.00665,0.00169,0.0015,0.0
0.30121,-0.01598,19.55178,17.67259,0.10107,0.30071,-0.02378,0.0,-3e-05,-0.00052,-0.05572,-0.4908,0.00677,0.0,0.0,0.0
0.30106,-0.01628,19.37495,17.69868,0.10767,0.2987,-0.02107,0.0,-0.00015,-0.0003,-0.17683,0.02609,0.0066,-0.00201,0.00271,0.0
0.30088,-0.01623,19.1621,17.6654,0.11438,0.29772,-0.01542,0.0,-0.00018,5e-05,-0.21285,-0.03328,0.00671,-0.00098,0.00565,0.0
0.30071,-0.01619,19.27569,17.65771,0.12476,0.29772,-0.01542,0.0,-0.00017,4e-05,0.11359,-0.00769,0.01038,0.0,0.0,0.0
0.30063,-0.01593,19.1304,17.60455,0.12946,0.29914,-0.011,0.0,-8e-05,0.00026,-0.14529,-0.05316,0.0047,0.00142,0.00442,0.0
0.30057,-0.01542,19.06136,17.60455,0.13672,0.29933,-0.0052,0.0,-6e-05,0.00051,-0.06904,0.0,0.00726,0.00019,0.0058,0.0
0.30051,-0.01495,18.907,17.59862,0.14337,0.29933,-0.0052,0.0,-6e-05,0.00047,-0.15436,-0.00593,0.00665,0.0,0.0,0.0
0.30067,-0.01524,18.907,17.57139,0.14856,0.30415,-0.02161,0.0,0.00016,-0.00029,0.0,-0.02723,0.00519,0.00482,-0.01641,0.0
0.3008,-0.01524,18.88482,17.7786,0.15973,0.30363,-0.01506,0.0,0.00013,0.0,-0.02218,0.20721,0.01117,-0.00052,0.00655,0.0
0.30091,-0.01523,18.94011,17.13408,0.16614,0.30363,-0.01506,0.0,0.00011,1e-05,0.05529,-0.64452,0.00641,0.0,0.0,0.0
0.30084,-0.01495,18.08102,17.47565,0.17456,0.29917,-0.00795,0.0,-7e-05,0.00028,-0.85909,0.34157,0.00842,-0.00446,0.00711,0.0
0.30078,-0.01469,18.84414,17.5549,0.18097,0.29917,-0.00795,0.0,-6e-05,0.00026,0.76312,0.07925,0.00641,0.0,0.0,0.0
0.30164,-0.01348,18.65517,17.25637,0.18945,0.32493,0.01914,0.0,0.00086,0.00121,-0.18897,-0.29853,0.00848,0.02576,0.02709,0.0
0.30369,-0.00825,18.09361,16.62587,0.19556,0.36103,0.13832,0.0,0.00205,0.00523,-0.56156,-0.6305,0.00611,0.0361,0.11918,0.0
0.30558,-0.00355,18.46022,16.88807,0.20282,0.36027,0.13261,0.0,0.00189,0.0047,0.36661,0.2622,0.00726,-0.00076,-0.00571,0.0
0.32252,0.03834,17.50899,16.72709,0.20282,0.41647,0.2591,0.0,0.01694,0.04189,-0.95123,-0.16098,0.0,0.0562,0.12649,0.0
0.37723,0.18948,17.57268,16.50097,0.20282,0.43194,0.34062,0.0,0.05471,0.15114,0.06369,-0.22612,0.0,0.01547,0.08152,0.0
0.39547,0.23986,17.77345,16.87796,0.20282,0.43194,0.34062,0.0,0.01824,0.05038,0.20077,0.37699,0.0,0.0,0.0,0.0
0.42618,0.33568,18.18746,16.48931,0.20282,0.41467,0.32581,0.0,0.03071,0.09582,0.41401,-0.38865,0.0,-0.01727,-0.01481,0.0
0.42406,0.33378,18.42646,16.48344,0.20282,0.42193,0.33188,0.0,-0.00212,-0.0019,0.239,-0.00587,0.0,0.00726,0.00607,0.0
0.42319,0.33148,18.18327,16.38535,0.20282,0.42147,0.32688,0.0,-0.00087,-0.0023,-0.24319,-0.09809,0.0,-0.00046,-0.005,0.0
0.42217,0.33636,18.29762,16.41622,0.01733,0.41909,0.351,0.0,-0.00102,0.00488,0.11435,0.03087,-0.18549,-0.00238,0.02412,0.0
0.4215,0.33341,18.33567,16.47831,0.02435,0.41885,0.32163,0.0,-0.00067,-0.00295,0.03805,0.06209,0.00702,-0.00024,-0.02937,0.0
