FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.44835,0.21343,17.77356,15.58979,0.02637,0.41899,0.21465,0.0,-0.00734,0.00031,-0.5979,1.09899,0.00684,-0.05249,-0.04553,0.0
0.44271,0.22421,18.26737,14.6975,0.0332,0.41449,0.27812,0.0,-0.00564,0.01078,0.49381,-0.89229,0.00683,-0.0045,0.06347,0.0
0.43877,0.23235,18.20904,15.33915,0.03979,0.41517,0.28116,0.0,-0.00394,0.00814,-0.05833,0.64165,0.00659,0.00068,0.00304,0.0
0.43964,0.23946,18.29853,15.26067,0.04614,0.4457,0.28926,0.0,0.00087,0.00711,0.08949,-0.07848,0.00635,0.03053,0.0081,0.0
0.43625,0.24148,17.91281,15.73231,0.05322,0.40914,0.25767,0.0,-0.00339,0.00202,-0.38572,0.47164,0.00708,-0.03656,-0.03159,0.0
0.43347,0.24281,17.64089,15.16335,0.05957,0.40841,0.25477,0.0,-0.00278,0.00133,-0.27192,-0.56896,0.00635,-0.00073,-0.0029,0.0
0.43314,0.24495,17.87796,15.88221,0.06641,0.42987,0.2663,0.0,-0.00033,0.00214,0.23707,0.71886,0.00684,0.02146,0.01153,0.0
0.43107,0.24538,18.28998,14.76827,0.07349,0.40827,0.2502,0.0,-0.00207,0.00043,0.41202,-1.11394,0.00708,-0.0216,-0.0161,0.0
0.42937,0.24599,18.37967,15.26676,0.07983,0.40899,0.2533,0.0,-0.0017,0.00061,0.08969,0.49849,0.00634,0.00072,0.0031,0.0
0.42884,0.24835,17.94932,15.65639,0.08643,0.42191,0.27898,0.0,-0.00053,0.00236,-0.43035,0.38963,0.0066,0.01292,0.02568,0.0
0.42918,0.25234,17.97743,15.33129,0.09326,0.43395,0.30822,0.0,0.00034,0.00399,0.02811,-0.3251,0.00683,0.01204,0.02924,0.0
0.42937,0.25506,17.94102,15.62234,0.09985,0.43227,0.29585,0.0,0.00019,0.00272,-0.03641,0.29105,0.00659,-0.00168,-0.01237,0.0
0.42895,0.2533,18.41134,15.78029,0.10693,0.42222,0.2251,0.0,-0.00042,-0.00176,0.47032,0.15795,0.00708,-0.01005,-0.07075,0.0
0.42837,0.25306,18.26323,16.01358,0.11328,0.41852,0.24908,0.0,-0.00058,-0.00024,-0.14811,0.23329,0.00635,-0.0037,0.02398,0.0
0.4279,0.2532,17.99126,15.64723,0.11987,0.41947,0.25557,0.0,-0.00047,0.00014,-0.27197,-0.36635,0.00659,0.00095,0.00649,0.0
0.4287,0.25386,18.35264,15.60835,0.12671,0.44394,0.2664,0.0,0.0008,0.00066,0.36138,-0.03888,0.00684,0.02447,0.01083,0.0
0.4285,0.25258,18.34484,15.65125,0.13354,0.42435,0.22714,0.0,-0.0002,-0.00128,-0.0078,0.0429,0.00683,-0.01959,-0.03926,0.0
0.42835,0.25174,17.76753,16.04618,0.13989,0.42527,0.23394,0.0,-0.00015,-0.00084,-0.57731,0.39493,0.00635,0.00092,0.0068,0.0
0.42756,0.25261,18.38628,15.75205,0.14673,0.41019,0.27194,0.0,-0.00079,0.00087,0.61875,-0.29413,0.00684,-0.01508,0.038,0.0
0.42717,0.25339,18.4353,16.1393,0.15381,0.41809,0.27116,0.0,-0.00039,0.00078,0.04902,0.38725,0.00708,0.0079,-0.00078,0.0
0.42676,0.25384,17.77006,15.76328,0.16016,0.41713,0.26464,0.0,-0.00041,0.00045,-0.66524,-0.37602,0.00635,-0.00096,-0.00652,0.0
0.42718,0.25363,17.81046,15.71315,0.16699,0.43761,0.24842,0.0,0.00042,-0.00021,0.0404,-0.05013,0.00683,0.02048,-0.01622,0.0
0.42699,0.2538,18.44657,15.87813,0.17358,0.422,0.25827,0.0,-0.00019,0.00017,0.63611,0.16498,0.00659,-0.01561,0.00985,0.0
0.42678,0.25373,18.09557,16.24487,0.17993,0.42107,0.25179,0.0,-0.00021,-7e-05,-0.351,0.36674,0.00635,-0.00093,-0.00648,0.0
