fold,thr,tag,acc,precision,recall,f1,n_test_files
1,0.5499999999999999,with_prec,0.5,0.0,0.0,0.0,18
2,0.45999999999999996,with_prec,0.6666666666666666,0.6666666666666666,1.0,0.8,18
3,0.59,with_prec,0.4444444444444444,0.5555555555555556,0.45454545454545453,0.5,18
4,0.3,with_prec,0.6666666666666666,0.6666666666666666,1.0,0.8,18
5,0.51,with_prec,0.2777777777777778,0.0,0.0,0.0,18
6,0.51,with_prec,0.3333333333333333,0.42857142857142855,0.6,0.5,18
