fold,mode,acc,precision,recall,f1,thr,w_cnn,w_tcn,w_inc
1,stack_xgb,0.5,0.5,0.8888888888888888,0.64,0.4,,,
2,stack_xgb,0.6111111111111112,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.4,,,
3,stack_xgb,0.6111111111111112,0.625,0.9090909090909091,0.7407407407407407,0.4,,,
4,stack_xgb,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5979797979797981,,,
5,stack_xgb,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,,,
6,stack_xgb,0.6666666666666666,1.0,0.4,0.5714285714285714,0.7636363636363637,,,
