fold,mode,acc,precision,recall,f1,bal_acc,thr_t,agg_mode,trim_q,cal_cnn,cal_trf,cal_inc
1,m2_weighted,0.4444444444444444,0.42857142857142855,0.3333333333333333,0.375,0.4444444444444444,0.5854555454545455,median,0.1,isotonic,isotonic,isotonic
2,m3_rank,0.6111111111111112,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.625,0.47368421052631576,median,0.1,isotonic,isotonic,isotonic
3,m1_stack,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6493506493506493,0.7284396577422333,trimmed,0.0,isotonic,isotonic,isotonic
4,m2_weighted,0.6111111111111112,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.5833333333333333,0.5201388888888889,trimmed,0.05,isotonic,isotonic,isotonic
5,m1_stack,0.6111111111111112,0.6923076923076923,0.75,0.72,0.5416666666666666,0.5240587749598988,trimmed,0.0,isotonic,isotonic,isotonic
6,m1_stack,0.3333333333333333,0.4166666666666667,0.5,0.45454545454545453,0.3125,0.6156633849890727,trimmed,0.05,platt,isotonic,isotonic
